而	http://img.zdic.net/zy/jinwen/33_E7F7.svg
耒	http://img.zdic.net/zy/jinwen/34_EECB.svg
耳	http://img.zdic.net/zy/jiaguwen/43_EC0A.svg
聿	http://img.zdic.net/zy/jiaguwen/41_F084.svg
肉	http://img.zdic.net/zy/jiaguwen/42_E22D.svg
臣	http://img.zdic.net/zy/jiaguwen/41_F096.svg
自	http://img.zdic.net/zy/jiaguwen/41_F515.svg
至	http://img.zdic.net/zy/jiaguwen/43_EB8D.svg
臼	http://img.zdic.net/zy/chuwenzi/52_EF66.svg
舌	http://img.zdic.net/zy/jiaguwen/45_E23F.svg
舛	http://img.zdic.net/zy/xiaozhuan/27_821B.svg
舟	http://img.zdic.net/zy/jiaguwen/42_F6E5.svg
艮	http://img.zdic.net/zy/xiaozhuan/27_826E.svg
色	http://img.zdic.net/zy/jinwen/37_F556.svg
艸	http://img.zdic.net/zy/jiaguwen/45_E93E.svg
虍	http://img.zdic.net/zy/jiaguwen/42_E58B.svg
虫	http://img.zdic.net/zy/jiaguwen/43_F15C.svg
血	http://img.zdic.net/zy/jiaguwen/42_E672.svg
衣	http://img.zdic.net/zy/jiaguwen/42_F693.svg
襾	http://img.zdic.net/zy/xiaozhuan/27_897E.svg
見	http://img.zdic.net/zy/jiaguwen/42_F821.svg
角	http://img.zdic.net/zy/jiaguwen/42_E2BB.svg
言	http://img.zdic.net/zy/jiaguwen/41_EC87.svg
谷	http://img.zdic.net/zy/jiaguwen/43_EA3A.svg
豆	http://img.zdic.net/zy/jiaguwen/42_E530.svg
豕	http://img.zdic.net/zy/jiaguwen/43_E270.svg
豸	http://img.zdic.net/zy/jiaguwen/43_E2E6.svg
貝	http://img.zdic.net/zy/jiaguwen/42_ECC6.svg
赤	http://img.zdic.net/zy/jiaguwen/43_E616.svg
走	http://img.zdic.net/zy/jiaguwen/43_E6CE.svg
足	http://img.zdic.net/zy/jiaguwen/45_E2D3.svg
身	http://img.zdic.net/zy/jiaguwen/44_E23C.svg
車	http://img.zdic.net/zy/jiaguwen/43_F44A.svg
辛	http://img.zdic.net/zy/jiaguwen/43_F71C.svg
辰	http://img.zdic.net/zy/jiaguwen/44_E016.svg
辵	http://img.zdic.net/zy/jiaguwen/41_E86A.svg
邑	http://img.zdic.net/zy/jiaguwen/42_ED2E.svg
酉	http://img.zdic.net/zy/jiaguwen/44_E131.svg
釆	http://img.zdic.net/zy/jiaguwen/41_E418.svg
里	http://img.zdic.net/zy/jinwen/34_E07E.svg
金	http://img.zdic.net/zy/jinwen/34_E19E.svg
長	http://img.zdic.net/zy/jiaguwen/43_E212.svg
門	http://img.zdic.net/zy/jiaguwen/43_EBF2.svg
阜	http://img.zdic.net/zy/jiaguwen/43_F499.svg
隶	http://img.zdic.net/zy/jinwen/31_F136.svg
隹	http://img.zdic.net/zy/jiaguwen/41_F67C.svg
雨	http://img.zdic.net/zy/jiaguwen/43_EA42.svg
靑	http://img.zdic.net/zy/jinwen/32_E5EF.svg
面	http://img.zdic.net/zy/jiaguwen/44_E2D2.svg
革	http://img.zdic.net/zy/jiaguwen/44_E25E.svg
韋	http://img.zdic.net/zy/jiaguwen/42_EA2A.svg
韭	http://img.zdic.net/zy/chuwenzi/56_F12B.svg
音	http://img.zdic.net/zy/jinwen/31_EC76.svg
頁	http://img.zdic.net/zy/jiaguwen/43_E019.svg
凬	http://img.zdic.net/zy/jiaguwen/42_E0AD.svg
