己	<div class=tone3>jǐ</div>	ji3	oneself	49	已, 巳	[sound:cmn-ji3.mp3]	<img src="己_img_ancient.svg">	<img src="己_stroke_order.svg">	起, 已, 记, 改, 纪
巾	<div class=tone1>jīn</div>	jin1	turban, scarf	50		[sound:cmn-jin1.mp3]	<img src="巾_img_ancient.svg">	<img src="巾_stroke_order.svg">	制, 帝, 市, 布, 农
干	<div class=tone1>gān</div>, <div class=tone4>gàn</div>, <div class=tone2>hán</div>	gan1 gan4 han2	pestle	51		[sound:cmn-gan1.mp3]	<img src="干_img_ancient.svg">	<img src="干_stroke_order.svg">	于, 平, 午, 赶, 奸
乡	<div class=tone1>xiāng</div>, <div class=tone3>xiǎng</div>, <div class=tone4>xiàng</div>	xiang1 xiang3 xiang4	short, tiny	52	幺	[sound:cmn-xiang1.mp3]	<img src="乡_img_ancient.svg">	<img src="乡_stroke_order.svg">	飨, 芗, 蚃, 鄉
广	<div class=tone3>yǎn</div>, <div class=tone1>ān</div>, <div class=tone3>guǎng</div>	yan3 an1 guang3	house on cliff	53		[sound:cmn-yan3.mp3]	<img src="广_img_ancient.svg">	<img src="广_stroke_order.svg">	应, 府, 底, 唐, 康
廴	<div class=tone3>yǐn</div>	yin3	long stride	54		[sound:cmn-yin3.mp3]		<img src="廴_stroke_order.svg">	建, 延, 廷
廾	<div class=tone3>gǒng</div>, <div class=tone4>gòng</div>, <div class=tone4>niàn</div>	gong3 gong4 nian4	two hands, twenty	55		[sound:cmn-gong3.mp3]	<img src="廾_img_ancient.svg">	<img src="廾_stroke_order.svg">	开, 龏
弋	<div class=tone4>yì</div>	yi4	shoot, arrow	56		[sound:cmn-yi4.mp3]	<img src="弋_img_ancient.svg">	<img src="弋_stroke_order.svg">	代, 式, 忒, 鸢, 甙
弓	<div class=tone1>gōng</div>	gong1	bow	57		[sound:cmn-gong1.mp3]	<img src="弓_img_ancient.svg">	<img src="弓_stroke_order.svg">	第, 张, 强, 引, 弹
彐	<div class=tone4>jì</div>	ji4	pig snout	58	彑	[sound:cmn-ji4.mp3]	<img src="彐_img_ancient.svg">	<img src="彐_stroke_order.svg">	当, 归, 灵, 妇, 寻
彡	<div class=tone1>shān</div>, <div class=tone1>xiān</div>	shan1 xian1	bristle, beard	59		[sound:cmn-shan1.mp3]	<img src="彡_img_ancient.svg">	<img src="彡_stroke_order.svg">	形, 须, 影, 参, 彩
彳	<div class=tone4>chì</div>	chi4	step	60		[sound:cmn-chi4.mp3]	<img src="彳_img_ancient.svg">	<img src="彳_stroke_order.svg">	得, 行, 很, 德, 往
心	<div class=tone1>xīn</div>	xin1	heart	61	忄	[sound:cmn-xin1.mp3]	<img src="心_img_ancient.svg">	<img src="心_stroke_order.svg">	心, 意, 想, 必, 总
戈	<div class=tone1>gē</div>	ge1	spear, halberd	62		[sound:cmn-ge1.mp3]	<img src="戈_img_ancient.svg">	<img src="戈_stroke_order.svg">	我, 成, 战, 找, 划
戶	<div class=tone4>hù</div>	hu4	door, house	63	户, 戸	[sound:cmn-hu4.mp3]	<img src="戶_img_ancient.svg">	<img src="戶_stroke_order.svg">	所, 房, 护, 启, 肩
手	<div class=tone3>shǒu</div>	shou3	hand	64	扌, 才	[sound:cmn-shou3.mp3]	<img src="手_img_ancient.svg">	<img src="手_stroke_order.svg">	我, 拿, 掌, 摩, 拳
支	<div class=tone1>zhī</div>	zhi1	branch	65		[sound:cmn-zhi1.mp3]	<img src="支_img_ancient.svg">	<img src="支_stroke_order.svg">	支, 技, 鼓, 枝, 翅
攴	<div class=tone1>pū</div>, <div class=tone1>pō</div>	pu1 po1	rap	66	攵	[sound:cmn-pu1.mp3]	<img src="攴_img_ancient.svg">	<img src="攴_stroke_order.svg">	寇, 敲, 闅, 軙, 鈙
文	<div class=tone2>wén</div>, <div class=tone4>wèn</div>	wen2 wen4	script, literature	67		[sound:cmn-wen2.mp3]	<img src="文_img_ancient.svg">	<img src="文_stroke_order.svg">	这, 刘, 齐, 斋, 纹
斗	<div class=tone3>dǒu</div>, <div class=tone4>dòu</div>	dou3 dou4	dipper	68		[sound:cmn-dou3.mp3]	<img src="斗_img_ancient.svg">	<img src="斗_stroke_order.svg">	科, 料, 斜, 抖, 魁
斤	<div class=tone1>jīn</div>	jin1	axe	69		[sound:cmn-jin1.mp3]	<img src="斤_img_ancient.svg">	<img src="斤_stroke_order.svg">	所, 新, 斯, 听, 近
方	<div class=tone1>fāng</div>, <div class=tone1>fēng</div>, <div class=tone2>páng</div>, <div class=tone3>wǎng</div>	fang1 feng1 pang2 wang3	square	70		[sound:cmn-fang1.mp3]	<img src="方_img_ancient.svg">	<img src="方_stroke_order.svg">	方, 放, 房, 施, 防
无	<div class=tone2>wú</div>, <div class=tone2>mó</div>	wu2 mo2	negative, no, not	71		[sound:cmn-wu2.mp3]	<img src="无_img_ancient.svg">	<img src="无_stroke_order.svg">	无, 抚, 芜, 庑, 妩
日	<div class=tone4>rì</div>, <div class=tone4>mì</div>	ri4 mi4	sun, day	72		[sound:cmn-ri4.mp3]	<img src="日_img_ancient.svg">	<img src="日_stroke_order.svg">	是, 时, 者, 明, 间
曰	<div class=tone1>yuē</div>	yue1	say	73		[sound:cmn-yue1.mp3]	<img src="曰_img_ancient.svg">	<img src="曰_stroke_order.svg">	最, 曷, 汩
月	<div class=tone4>yuè</div>	yue4	moon, month	74		[sound:cmn-yue4.mp3]	<img src="月_img_ancient.svg">	<img src="月_stroke_order.svg">	有, 明, 且, 期, 服
木	<div class=tone4>mù</div>	mu4	tree	75		[sound:cmn-mu4.mp3]	<img src="木_img_ancient.svg">	<img src="木_stroke_order.svg">	来, 本, 样, 相, 机
欠	<div class=tone4>qiàn</div>, <div class=tone1>quē</div>	qian4 que1	owe, lack, yawn	76		[sound:cmn-qian4.mp3]	<img src="欠_img_ancient.svg">	<img src="欠_stroke_order.svg">	次, 欲, 欢, 款, 歌
止	<div class=tone3>zhǐ</div>	zhi3	stop	77		[sound:cmn-zhi3.mp3]	<img src="止_img_ancient.svg">	<img src="止_stroke_order.svg">	此, 正, 武, 步, 企
歹	<div class=tone3>dǎi</div>, <div class=tone4>è</div>, <div class=tone1>dāi</div>	dai3 e4 dai1	death, decay	78		[sound:cmn-dai3.mp3]	<img src="歹_img_ancient.svg">	<img src="歹_stroke_order.svg">	死, 列, 残, 殊, 殖
殳	<div class=tone1>shū</div>	shu1	weapon, lance	79		[sound:cmn-shu1.mp3]	<img src="殳_img_ancient.svg">	<img src="殳_stroke_order.svg">	没, 设, 投, 般, 段
