爪	<div class=tone3>zhuǎ</div>	claw, nail, talon	87	爫	[sound:爪_google_zh-cn.mp3]	
父	<div class=tone4>fù</div>	father	88		[sound:父_google_zh-cn.mp3]	<img src="父_img_ancient.svg">
爻	<div class=tone2>yáo</div>	mix, twine, cross	89		[sound:爻_google_zh-cn.mp3]	<img src="爻_img_ancient.svg">
丬	<div class=tone2>qiáng</div>	split wood	90	爿	[sound:丬_google_zh-cn.mp3]	
片	<div class=tone4>piàn</div>	slice	91		[sound:片_google_zh-cn.mp3]	
牙	<div class=tone2>yá</div>	fang	92		[sound:牙_google_zh-cn.mp3]	<img src="牙_img_ancient.svg">
牛	<div class=tone2>níu</div>	cow	93	牜	[sound:牛_google_zh-cn.mp3]	<img src="牛_img_ancient.svg">
犬	<div class=tone2>quǎn</div>	dog	94	犭	[sound:犬_google_zh-cn.mp3]	<img src="犬_img_ancient.svg">
玄	<div class=tone2>xuán</div>	dark, profound	95		[sound:玄_google_zh-cn.mp3]	<img src="玄_img_ancient.svg">
玉	<div class=tone4>yù</div>	jade (king)	96	玊, 王	[sound:玉_google_zh-cn.mp3]	<img src="玉_img_ancient.svg">
瓜	<div class=tone1>guā</div>	melon	97		[sound:瓜_google_zh-cn.mp3]	<img src="瓜_img_ancient.svg">
瓦	<div class=tone3>wǎ</div>	tile	98		[sound:瓦_google_zh-cn.mp3]	<img src="瓦_img_ancient.svg">
甘	<div class=tone1>gān</div>	sweet	99		[sound:甘_google_zh-cn.mp3]	<img src="甘_img_ancient.svg">
生	<div class=tone1>shēng</div>	life	100		[sound:生_google_zh-cn.mp3]	<img src="生_img_ancient.svg">
用	<div class=tone4>yòng</div>	use	101	甩	[sound:用_google_zh-cn.mp3]	<img src="用_img_ancient.svg">
曱	<div class=tone2>yuē</div>	field	102	田, 由, 甲, 申, 甴	[sound:曱_google_zh-cn.mp3]	
疋	<div class=tone3>pǐ</div>	bolt of cloth	103		[sound:疋_google_zh-cn.mp3]	<img src="疋_img_ancient.svg">
疒	<div class=tone2>chuáng</div>	sickness	104		[sound:疒_google_zh-cn.mp3]	<img src="疒_img_ancient.svg">
癶	<div class=tone1>bō</div>	footsteps	105		[sound:癶_google_zh-cn.mp3]	<img src="癶_img_ancient.svg">
白	<div class=tone2>bái</div>	white	106		[sound:白_google_zh-cn.mp3]	<img src="白_img_ancient.svg">
皮	<div class=tone2>pí</div>	skin	107		[sound:皮_google_zh-cn.mp3]	<img src="皮_img_ancient.svg">
皿	<div class=tone3>mǐn</div>	dish	108		[sound:皿_google_zh-cn.mp3]	<img src="皿_img_ancient.svg">
目	<div class=tone4>mù</div>	eye	109		[sound:目_google_zh-cn.mp3]	<img src="目_img_ancient.svg">
矛	<div class=tone2>máo</div>	spear	110		[sound:矛_google_zh-cn.mp3]	<img src="矛_img_ancient.svg">
矢	<div class=tone3>shǐ</div>	arrow	111		[sound:矢_google_zh-cn.mp3]	<img src="矢_img_ancient.svg">
石	<div class=tone2>shí</div>	stone	112		[sound:石_google_zh-cn.mp3]	<img src="石_img_ancient.svg">
示	<div class=tone4>shì</div>	sign	113	礻	[sound:示_google_zh-cn.mp3]	<img src="示_img_ancient.svg">
禸	<div class=tone2>róu</div>	track	114		[sound:禸_google_zh-cn.mp3]	<img src="禸_img_ancient.svg">
禾	<div class=tone2>hé</div>	grain	115		[sound:禾_google_zh-cn.mp3]	<img src="禾_img_ancient.svg">
穴	<div class=tone2>xué</div>	cave	116		[sound:穴_google_zh-cn.mp3]	<img src="穴_img_ancient.svg">
立	<div class=tone4>lì</div>	stand, erect	117		[sound:立_google_zh-cn.mp3]	<img src="立_img_ancient.svg">
竹	<div class=tone2>zhú</div>	bamboo	118		[sound:竹_google_zh-cn.mp3]	<img src="竹_img_ancient.svg">
米	<div class=tone3>mǐ</div>	rice	119		[sound:米_google_zh-cn.mp3]	<img src="米_img_ancient.svg">
糸	<div class=tone4>mì</div>	silk	120	糹, 纟	[sound:糸_google_zh-cn.mp3]	<img src="糸_img_ancient.svg">
缶	<div class=tone3>fǒu</div>	jar	121		[sound:缶_google_zh-cn.mp3]	<img src="缶_img_ancient.svg">
网	<div class=tone3>wǎng</div>	net	122	罒, 罓	[sound:网_google_zh-cn.mp3]	<img src="网_img_ancient.svg">
羊	<div class=tone2>yáng</div>	sheep	123		[sound:羊_google_zh-cn.mp3]	<img src="羊_img_ancient.svg">
羽	<div class=tone3>yǔ</div>	feather	124		[sound:羽_google_zh-cn.mp3]	<img src="羽_img_ancient.svg">
老	<div class=tone3>lǎo</div>	old	125	耂, 考	[sound:老_google_zh-cn.mp3]	<img src="老_img_ancient.svg">
而	<div class=tone2>ér</div>	beard	126		[sound:而_google_zh-cn.mp3]	<img src="而_img_ancient.svg">
耒	<div class=tone3>lěi</div>	plow	127		[sound:耒_google_zh-cn.mp3]	<img src="耒_img_ancient.svg">
耳	<div class=tone3>ěr</div>	ear	128		[sound:耳_google_zh-cn.mp3]	<img src="耳_img_ancient.svg">
聿	<div class=tone4>yù</div>	brush	129	肀	[sound:聿_google_zh-cn.mp3]	<img src="聿_img_ancient.svg">
肉	<div class=tone4>ròu</div>	meat	130		[sound:肉_google_zh-cn.mp3]	<img src="肉_img_ancient.svg">
臣	<div class=tone2>chén</div>	minister, official	131		[sound:臣_google_zh-cn.mp3]	<img src="臣_img_ancient.svg">
自	<div class=tone4>zì</div>	self	132		[sound:自_google_zh-cn.mp3]	<img src="自_img_ancient.svg">
至	<div class=tone4>zhì</div>	arrive	133		[sound:至_google_zh-cn.mp3]	<img src="至_img_ancient.svg">
臼	<div class=tone4>jìu</div>	mortar	134		[sound:臼_google_zh-cn.mp3]	<img src="臼_img_ancient.svg">
舌	<div class=tone2>shé</div>	tongue	135		[sound:舌_google_zh-cn.mp3]	<img src="舌_img_ancient.svg">
舛	<div class=tone3>chuǎn</div>	opposite	136		[sound:舛_google_zh-cn.mp3]	<img src="舛_img_ancient.svg">
舟	<div class=tone1>zhōu</div>	boat	137		[sound:舟_google_zh-cn.mp3]	<img src="舟_img_ancient.svg">
艮	<div class=tone1>gèn</div>	stopping	138		[sound:艮_google_zh-cn.mp3]	<img src="艮_img_ancient.svg">
色	<div class=tone4>sè</div>	color, prettiness	139		[sound:色_google_zh-cn.mp3]	<img src="色_img_ancient.svg">
艸	<div class=tone3>cǎo</div>	grass	140	艹	[sound:艸_google_zh-cn.mp3]	<img src="艸_img_ancient.svg">
虍	<div class=tone1>hū</div>	tiger	141		[sound:虍_google_zh-cn.mp3]	<img src="虍_img_ancient.svg">
虫	<div class=tone3>chóng</div>	insect	142		[sound:虫_google_zh-cn.mp3]	<img src="虫_img_ancient.svg">
血	<div class=tone4>xiě</div>	blood	143		[sound:血_google_zh-cn.mp3]	<img src="血_img_ancient.svg">
行	<div class=tone2>xíng</div>	go, do	144		[sound:行_google_zh-cn.mp3]	<img src="行_img_ancient.svg">
衣	<div class=tone1>yī</div>	clothes	145	衤	[sound:衣_google_zh-cn.mp3]	<img src="衣_img_ancient.svg">
襾	<div class=tone4>yà</div>	west	146	西, 覀	[sound:襾_google_zh-cn.mp3]	
見	<div class=tone4>jiàn</div>	see	147	见	[sound:見_google_zh-cn.mp3]	<img src="見_img_ancient.svg">
角	<div class=tone3>jiǎo</div>	horn	148		[sound:角_google_zh-cn.mp3]	<img src="角_img_ancient.svg">
言	<div class=tone2>yán</div>	speech	149	訁, 讠	[sound:言_google_zh-cn.mp3]	<img src="言_img_ancient.svg">
谷	<div class=tone3>gǔ</div>	valley	150		[sound:谷_google_zh-cn.mp3]	<img src="谷_img_ancient.svg">
豆	<div class=tone4>dòu</div>	bean	151		[sound:豆_google_zh-cn.mp3]	<img src="豆_img_ancient.svg">
豕	<div class=tone3>shǐ</div>	pig	152		[sound:豕_google_zh-cn.mp3]	<img src="豕_img_ancient.svg">
豸	<div class=tone4>zhì</div>	cat, badger	153		[sound:豸_google_zh-cn.mp3]	
貝	<div class=tone4>bèi</div>	shell	154	贝	[sound:貝_google_zh-cn.mp3]	<img src="貝_img_ancient.svg">
赤	<div class=tone4>chì</div>	red, bare	155		[sound:赤_google_zh-cn.mp3]	<img src="赤_img_ancient.svg">
走	<div class=tone3>zǒu</div>	run	156	赱	[sound:走_google_zh-cn.mp3]	<img src="走_img_ancient.svg">
足	<div class=tone2>zú</div>	foot	157		[sound:足_google_zh-cn.mp3]	<img src="足_img_ancient.svg">
身	<div class=tone1>shēn</div>	body	158		[sound:身_google_zh-cn.mp3]	<img src="身_img_ancient.svg">
車	<div class=tone1>chē</div>	cart, car	159	车	[sound:車_google_zh-cn.mp3]	<img src="車_img_ancient.svg">
辛	<div class=tone1>xīn</div>	bitter	160		[sound:辛_google_zh-cn.mp3]	<img src="辛_img_ancient.svg">
辰	<div class=tone2>chén</div>	morning	161		[sound:辰_google_zh-cn.mp3]	<img src="辰_img_ancient.svg">
辵	<div class=tone4>chuò</div>	walk	162	辶	[sound:辵_google_zh-cn.mp3]	<img src="辵_img_ancient.svg">
邑	<div class=tone4>yì</div>	town	163		[sound:邑_google_zh-cn.mp3]	<img src="邑_img_ancient.svg">
酉	<div class=tone3>yǒu</div>	wine, alcohol	164		[sound:酉_google_zh-cn.mp3]	<img src="酉_img_ancient.svg">
釆	<div class=tone4>biàn</div>	divide, distinguish, choose	165		[sound:釆_google_zh-cn.mp3]	<img src="釆_img_ancient.svg">
里	<div class=tone3>lǐ</div>	village, mile	166		[sound:里_google_zh-cn.mp3]	<img src="里_img_ancient.svg">
金	<div class=tone1>jīn</div>	metal, gold	167	釒, 钅	[sound:金_google_zh-cn.mp3]	<img src="金_img_ancient.svg">
長	<div class=tone2>cháng</div>	long, grow	168	镸, 长	[sound:長_google_zh-cn.mp3]	<img src="長_img_ancient.svg">
門	<div class=tone2>mén</div>	gate	169	门	[sound:門_google_zh-cn.mp3]	<img src="門_img_ancient.svg">
阜	<div class=tone4>fù</div>	mound, dam	170	阝	[sound:阜_google_zh-cn.mp3]	<img src="阜_img_ancient.svg">
隶	<div class=tone4>lì</div>	slave, capture	171		[sound:隶_google_zh-cn.mp3]	<img src="隶_img_ancient.svg">
隹	<div class=tone1>zhūi</div>	small bird	172		[sound:隹_google_zh-cn.mp3]	<img src="隹_img_ancient.svg">
雨	<div class=tone3>yǔ</div>	rain	173		[sound:雨_google_zh-cn.mp3]	<img src="雨_img_ancient.svg">
靑	<div class=tone1>qīng</div>	blue	174	青	[sound:靑_google_zh-cn.mp3]	<img src="靑_img_ancient.svg">
非	<div class=tone1>fēi</div>	wrong	175		[sound:非_google_zh-cn.mp3]	<img src="非_img_ancient.svg">
